Timestamp,Age Group ,  Please select your professional status   ,which city/country you present live in?,How often do you travel in a year?*,Preferred travel style ? ,What type of destinations do you prefer? ,Your typical travel budget per trip (₹) ? ,  Which season do you usually prefer for travel?  ,"If you travel within India, which zone do you prefer the most?  ( You can select multiple) ",Which mode of transport do you usually prefer while traveling?  ,How many days in advance do you usually plan your trips?,What are your top 3 travel planning difficulties?  ,When do you usually travel?,How many days do you usually travel per trip?,Column 15,How should your assistant talk to you?  *,Would you use an AI assistant to plan your trip?  *,How many tourist spots do you visit in one trip?,What additional features or services would you like from a travel assistant?  ,  How stressful do you usually find planning a trip?  ,  Which region would you most like to travel to?  ,Column 21,"On a scale of 1 to 5, how stressful do you find travel planning?  ",Column 21
,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2025 12:08:19,20-25,Student,"Khammam, India",Once in a year,Friends trip,"Mountains, Historical places","₹5,000–₹10,000",Monsoon,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,15 days,"Itinerary planning, Booking hotels/flights, Budgeting",School/College holidays or family vacations,3–5 days,,Friendly & fun,Yes,3-6,,3 – Moderately stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:21:14,20-25,Student,Khammam ,Once in a year,Family vacation,Historical places,"₹5,000–₹10,000",Monsoon,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,15 days,"Booking hotels/flights, Budgeting, Language barrier",During festivals or long weekends,3–5 days,,Friendly & fun,May be,1-3,Booking facilities ,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:24:14,20-25,Unemployed / Not Currently Working,India ,Rarely,Family vacation,"Mountains, Wildlife/Nature","₹10,000–₹30,000",Any season,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,15 days,Packing,During festivals or long weekends,3–5 days,,Friendly & fun,May be,1-3,NA,3 – Moderately stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:25:29,20-25,Student,India,2-3 times,Friends trip,Historical places,"₹10,000–₹30,000",Summer,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi)",Flight,15 days,"Itinerary planning, Booking hotels/flights, Budgeting, Packing, Language barrier",School/College holidays or family vacations,10+ days,,Friendly & fun,Yes,3-6,,1 – Not stressful at all,"Oceania -Australia, New Zealand, Fiji",,,
7/24/2025 12:27:35,20-25,Unemployed / Not Currently Working,Khammam ,Once in a year,Family vacation,Historical places,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,30 days,"Itinerary planning, Budgeting, Language barrier",School/College holidays or family vacations,1–2 days,,Detailed & informative,Yes,1-3,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:28:11,15-20,Student,Khammam ,Rarely,Friends trip,Mountains,"₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Itinerary planning, Budgeting, Packing, Language barrier",School/College holidays or family vacations,1–2 days,,Friendly & fun,May be,3-6,Tbh need to be caring and kind hearted ,1 – Not stressful at all,"Munnar, ooty and manali ",,,
7/24/2025 12:30:02,20-25,Student,Khammam ,2-3 times,Family vacation,Historical places,"₹10,000–₹30,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,15 days,"Booking hotels/flights, Packing, Language barrier",School/College holidays or family vacations,3–5 days,,Short & clear,Yes,3-6,,2 – Slightly stressful,India,,,
7/24/2025 12:31:29,20-25,Student,,4 or more,Solo trip,Wildlife/Nature,"₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,Booking hotels/flights,Weekends,3–5 days,,,,1-3,,,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:38:42,20-25,Student,Khammam/hyderabad ,4 or more,Family vacation,"Beaches, Mountains, Historical places, Wildlife/Nature","₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,15 days,Booking hotels/flights,School/College holidays or family vacations,1–2 days,,Friendly & fun,NO,3-6,...,4 – Very stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:41:48,20-25,Student,MADHIRA ,4 or more,Solo trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹10,000–₹30,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,15 days,"Itinerary planning, Booking hotels/flights, Language barrier",School/College holidays or family vacations,3–5 days,,Friendly & fun,Yes,1-3,,4 – Very stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:45:16,20-25,Student,Khammam ,2-3 times,Family vacation,Beaches,"₹10,000–₹30,000",Monsoon,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,Budgeting,During festivals or long weekends,1–2 days,,Formal,Yes,3-6,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:46:24,20-25,Student,Hyderabad ,Once in a year,Friends trip,Historical places,"₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Budgeting, Packing, Language barrier",During festivals or long weekends,1–2 days,,Friendly & fun,May be,1-3,Nothing ,3 – Moderately stressful,"Asia- Japan, India, Thailand, indonesia",,,
